"school.name","school.city","school.state","school.ownership","school.degrees_awarded.highest","school.degrees_awarded.predominant"
"Alabama A & M University","Normal","AL",1,4,3
"University of Alabama at Birmingham","Birmingham","AL",1,4,3
"Amridge University","Montgomery","AL",2,4,3
"University of Alabama in Huntsville","Huntsville","AL",1,4,3
"Alabama State University","Montgomery","AL",1,4,3
"The University of Alabama","Tuscaloosa","AL",1,4,3
"Central Alabama Community College","Alexander City","AL",1,2,1
"Athens State University","Athens","AL",1,4,3
"Auburn University at Montgomery","Montgomery","AL",1,4,3
"Auburn University","Auburn","AL",1,4,3
"Birmingham-Southern College","Birmingham","AL",2,3,3
"Chattahoochee Valley Community College","Phenix City","AL",1,2,1
"South University-Montgomery","Montgomery","AL",3,4,3
"Enterprise State Community College","Enterprise","AL",1,2,1
"Coastal Alabama Community College","Bay Minette","AL",1,2,2
"Faulkner University","Montgomery","AL",2,4,3
"Gadsden State Community College","Gadsden","AL",1,2,1
"New Beginning College of Cosmetology","Albertville","AL",3,1,1
"George C Wallace Community College-Dothan","Dothan","AL",1,2,1
"George C Wallace State Community College-Hanceville","Hanceville","AL",1,2,1
"George C Wallace State Community College-Selma","Selma","AL",1,2,2
"Herzing University-Birmingham","Birmingham","AL",2,4,1
"Huntingdon College","Montgomery","AL",2,4,3
"Heritage Christian University","Florence","AL",2,4,3
"J. F. Drake State Community and Technical College","Huntsville","AL",1,2,1
"J F Ingram State Technical College","Deatsville","AL",1,1,1
"Jacksonville State University","Jacksonville","AL",1,4,3
"Jefferson State Community College","Birmingham","AL",1,2,2
"John C Calhoun State Community College","Tanner","AL",1,2,1
"Lawson State Community College","Birmingham","AL",1,2,2
"University of West Alabama","Livingston","AL",1,4,3
"Lurleen B Wallace Community College","Andalusia","AL",1,2,1
"Marion Military Institute","Marion","AL",1,2,2
"Miles College","Fairfield","AL",2,3,3
"University of Mobile","Mobile","AL",2,4,3
"University of Montevallo","Montevallo","AL",1,4,3
"Northwest Shoals Community College","Muscle Shoals","AL",1,2,1
"University of North Alabama","Florence","AL",1,4,3
"Northeast Alabama Community College","Rainsville","AL",1,2,1
"Oakwood University","Huntsville","AL",2,4,3
"Reid State Technical College","Evergreen","AL",1,2,1
"Bishop State Community College","Mobile","AL",1,2,1
"Samford University","Birmingham","AL",2,4,3
"Selma University","Selma","AL",2,4,3
"Shelton State Community College","Tuscaloosa","AL",1,2,1
"Snead State Community College","Boaz","AL",1,2,1
"University of South Alabama","Mobile","AL",1,4,3
"Spring Hill College","Mobile","AL",2,4,3
"Stillman College","Tuscaloosa","AL",2,3,3
"Talladega College","Talladega","AL",2,4,3
"H Councill Trenholm State Community College","Montgomery","AL",1,2,2
"Troy University","Troy","AL",1,4,3
"Tuskegee University","Tuskegee","AL",2,4,3
"United States Sports Academy","Daphne","AL",2,4,3
"Bevill State Community College","Jasper","AL",1,2,1
"University of Alaska Anchorage","Anchorage","AK",1,4,3
"Alaska Bible College","Palmer","AK",2,3,3
"University of Alaska Fairbanks","Fairbanks","AK",1,4,3
"University of Alaska Southeast","Juneau","AK",1,4,1
"Alaska Pacific University","Anchorage","AK",2,4,3
"Alaska Vocational Technical Center","Seward","AK",1,1,1
"Charter College","Anchorage","AK",3,3,1
"Alaska Career College","Anchorage","AK",3,2,1
"Empire Beauty School-Tucson","Tucson","AZ",3,1,1
"Carrington College-Phoenix North","Phoenix","AZ",3,2,1
"Carrington College-Mesa","Mesa","AZ",3,2,1
"Carrington College-Tucson","Tucson","AZ",3,2,1
"Arizona Academy of Beauty","Tucson","AZ",3,1,1
"Miller-Motte College-Arizona Automotive Institute","Glendale","AZ",3,2,1
"Brookline College-Phoenix","Phoenix","AZ",3,4,3
"Arizona State University Campus Immersion","Tempe","AZ",1,4,3
"Arizona Western College","Yuma","AZ",1,2,2
"University of Arizona","Tucson","AZ",1,4,3
"Central Arizona College","Coolidge","AZ",1,2,1
"Charles of Italy Beauty College","Lake Havasu City","AZ",3,1,1
"Cochise County Community College District","Sierra Vista","AZ",1,2,2
"Empire Beauty School-Chandler","Chandler","AZ",3,1,1
"Avalon Institute-Mesa","Mesa","AZ",3,1,1
"Eastern Arizona College","Thatcher","AZ",1,2,1
"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ",2,4,3
"The School of Architecture","Scottsdale","AZ",2,4,4
"Glendale Community College","Glendale","AZ",1,2,1
"Grand Canyon University","Phoenix","AZ",3,4,3
"GateWay Community College","Phoenix","AZ",1,2,1
"Mesa Community College","Mesa","AZ",1,2,1
"Mohave Community College","Kingman","AZ",1,2,1
"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","Avondale","AZ",3,2,1
"Dine College","Tsaile","AZ",1,3,2
"Northern Arizona University","Flagstaff","AZ",1,4,3
"Northland Pioneer College","Holbrook","AZ",1,2,1
"Phoenix College","Phoenix","AZ",1,2,1
"Pima Community College","Tucson","AZ",1,2,1
"Pima Medical Institute-Tucson","Tucson","AZ",3,4,2
"Pima Medical Institute-Albuquerque","Albuquerque","NM",3,2,1
"Prescott College","Prescott","AZ",2,4,3
"Refrigeration School Inc","Phoenix","AZ",3,2,1
"Rio Salado College","Tempe","AZ",1,2,1
"Roberto-Venn School of Luthiery","Phoenix","AZ",3,1,1
"Scottsdale Community College","Scottsdale","AZ",1,2,1
"South Mountain Community College","Phoenix","AZ",1,2,1
"Arizona Christian University","Glendale","AZ",2,3,3
"Universal Technical Institute of Arizona Inc","Avondale","AZ",3,2,2
"Yavapai College","Prescott","AZ",1,2,1
"University of Arkansas at Little Rock","Little Rock","AR",1,4,3
"University of Arkansas for Medical Sciences","Little Rock","AR",1,4,3
"Arkansas Baptist College","Little Rock","AR",2,3,3
"Arkansas Beauty School-Little Rock","Little Rock","AR",3,1,1
"Arkansas Beauty College","Russellville","AR",3,1,1
"Lyon College","Batesville","AR",2,3,3
"Arkansas Technical School","North Little Rock","AR",3,1,1
"University of Arkansas","Fayetteville","AR",1,4,3
"University of Arkansas at Pine Bluff","Pine Bluff","AR",1,4,3
"Arkansas State University-Beebe","Beebe","AR",1,2,2
"Arkansas State University","Jonesboro","AR",1,4,3
"Arkansas Tech University","Russellville","AR",1,4,2
"University of Arkansas at Monticello","Monticello","AR",1,4,1
"Arthur's Beauty College","Jacksonville","AR",3,1,1
"Baptist Health College Little Rock","Little Rock","AR",2,2,2
"Black River Technical College","Pocahontas","AR",1,2,1
"University of Central Arkansas","Conway","AR",1,4,3
"Central Baptist College","Conway","AR",2,3,3
"Cossatot Community College of the University of Arkansas","De Queen","AR",1,2,1
"Crowley's Ridge College","Paragould","AR",2,3,3
"East Arkansas Community College","Forrest City","AR",1,2,1
"Paul Mitchell the School-Little Rock","North Little Rock","AR",3,1,1
"National Park College","Hot Springs","AR",1,2,1
"University of Arkansas Community College-Batesville","Batesville","AR",1,2,1
"Harding University","Searcy","AR",2,4,3
"Henderson State University","Arkadelphia","AR",1,4,3
"Hendrix College","Conway","AR",2,4,3
"Hot Springs Beauty College","Hot Springs","AR",3,1,1
"Jefferson Regional School of Nursing","Pine Bluff","AR",2,2,2
"John Brown University","Siloam Springs","AR",2,4,3
"Career Academy of Hair Design","Springdale","AR",3,1,1
"Academy of Salon and Spa","Fort Smith","AR",3,1,1
"Arkansas State University Mid-South","West Memphis","AR",1,2,1
"Arkansas Northeastern College","Blytheville","AR",1,2,1
"New Tyler Barber College Inc","North Little Rock","AR",3,1,1
"North Arkansas College","Harrison","AR",1,2,1
"Northwest Technical Institute","Springdale","AR",1,1,1
"Ouachita Baptist University","Arkadelphia","AR",2,4,3
"Arkansas State University Three Rivers","Malvern","AR",1,2,1
"Ozarka College","Melbourne","AR",1,2,1
"University of the Ozarks","Clarksville","AR",2,3,3
"University of Arkansas Community College-Morrilton","Morrilton","AR",1,2,1
"Philander Smith University","Little Rock","AR",2,3,3
"Phillips Community College of the University of Arkansas","Helena","AR",1,2,1
"Southeast Arkansas College","Pine Bluff","AR",1,2,1
