"","date","locality","state","school.name","location","title","event_type","organizations","participants","claims_summary","size_mean","year","schools","method","school.city","school.state","school.ownership","school.degrees_awarded.highest","state_politics","public","region","pal","arrests"
"1",2025-08-01,"fairfax","va","George Mason University","4400 university dr.",NA,"demonstration",NA,NA,"in support of George Mason University President; against the Trump administrations DEI policies",100,2025,0,"university",NA,"VA",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"2",2025-08-02,"newark","de","University of Delaware","e main st & s college ave","DEFEND DEMOCRACY NOW","demonstration","Indivisible",NA,"against President Trump; for democracy; for DEI programming; for LGBTQ rights; for providing support to Ukraine",NA,2025,0,"university",NA,"DE",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"3",2025-09-01,"auburn","al","Auburn University","100 s college st","Indivisible Auburn/Opelika #WorkersOverBillionaires Labor Day","demonstration",NA,NA,"for stopping the billionaire takeover corrupting the U.S. government; for protecting and defending Medicaid, Social Security, and other programs for working people; for fully funded schools, and healthcare and housing for all; for stopping the attacks on immigrants, Black, indigenous, trans people, and all our communities; for investing in people not wars; against the Trump adminstration's policies",NA,2025,0,"university",NA,"AL",1,4,"Republican-State","Public","south","Non-Gaza Related","No Arrests"
"4",2025-09-06,"newark","de","University of Delaware","e main st & s college ave","DEFEND DEMOCRACY NOW","demonstration","Indivisible",NA,"against President Trump; for democracy; for DEI programming; for LGBTQ rights; for providing support to Ukraine",NA,2025,0,"university",NA,"DE",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"5",2025-09-22,"las cruces","nm","New Mexico State University-Main Campus","1780 e university ave",NA,"demonstration",NA,NA,"against women's rights; against LGBTQ rights",NA,2025,0,"university",NA,"NM",1,4,"Democratic-State","Public","west","Non-Gaza Related","Arrests"
"6",2025-09-23,"las cruces","nm","New Mexico State University-Main Campus","1780 e university ave",NA,"demonstration",NA,NA,"against women's rights; against LGBTQ rights",NA,2025,0,"university",NA,"NM",1,4,"Democratic-State","Public","west","Non-Gaza Related","Arrests"
"7",2025-09-24,"san marcos","tx","Texas State University","601 university dr","Charlie Kirk Assassination Aftermath","rally; protest","Turning Point USA Texas State chapter; Black TXST; Black Men United","students; conservative supporters","for honoring Charlie Kirk's conservative legacy; for free speech; against the TXST administration's ousting of a student who mimicked Kirk's assassination; for Black students' safety and free speech on campus",24,2025,0,"university",NA,"TX",1,4,"Republican-State","Public","south","Non-Gaza Related","No Arrests"
"8",2025-09-25,"san marcos","tx","Texas State University","601 university dr",NA,"demonstrations",NA,NA,"for free free speech",24,2025,0,"university",NA,"TX",1,4,"Republican-State","Public","south","Non-Gaza Related","No Arrests"
"9",2025-09-29,"tucson","az","University of Arizona","1510 e university blvd",NA,"demonstration",NA,"Starbucks employees","for better pay, hours, and job security for Starbucks employees",NA,2025,0,"university",NA,"AZ",1,4,"Republican-State","Public","west","Non-Gaza Related","Arrests"
"10",2025-10-04,"newark","de","University of Delaware","e main st & s college ave","DEFEND DEMOCRACY NOW","demonstration","Indivisible",NA,"against President Trump; for democracy; for DEI programming; for LGBTQ rights; for providing support to Ukraine",NA,2025,0,"university",NA,"DE",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"11",2025-11-01,"newark","de","University of Delaware","e main st & s college ave","DEFEND DEMOCRACY NOW","demonstration","Indivisible",NA,"against President Trump; for democracy; for DEI programming; for LGBTQ rights; for providing support to Ukraine",NA,2025,0,"university",NA,"DE",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"12",2025-11-05,"manassas","va","George Mason University","4400 university dr",NA,"demonstration","Civic Association of Brentsvillle and Surrounding Areas",NA,"against the development of data centers; against planned high-power transmission lines that would cut through Nokesville and Bristow",150,2025,0,"university",NA,"VA",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"13",2025-12-06,"newark","de","University of Delaware","e main st & s college ave","DEFEND DEMOCRACY NOW","demonstration","Indivisible",NA,"against President Trump; for democracy; for DEI programming; for LGBTQ rights; for providing support to Ukraine",NA,2025,0,"university",NA,"DE",1,4,"Democratic-State","Public","south","Non-Gaza Related","No Arrests"
"14",2024-10-07,"turlock","ca","California State University-Stanislaus","california state university stanislaus",NA,NA,"SJP at CSU Stanislaus; CSU Muslim Student Association","students","in remembrance of victims of genocide in Palestine;for Palestinian liberation",NA,2024,0,"university",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"15",2024-10-08,"turlock","ca","California State University-Stanislaus","california state university stanislaus",NA,NA,"SJP at CSU Stanislaus; CSU Muslim Student Association","students","in remembrance of victims of genocide in Palestine;for Palestinian liberation",NA,2024,0,"university",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"16",2024-10-09,"turlock","ca","California State University-Stanislaus","california state university stanislaus",NA,NA,"SJP at CSU Stanislaus; CSU Muslim Student Association","students","in remembrance of victims of genocide in Palestine;for Palestinian liberation",NA,2024,0,"university",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"17",2024-10-10,"turlock","ca","California State University-Stanislaus","california state university stanislaus","A Vigil for Our Martyrs",NA,"SJP at CSU Stanislaus; CSU Muslim Student Association","students","in remembrance of victims of genocide in Palestine;for Palestinian liberation",NA,2024,0,"university",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"18",2024-11-01,"turlock","ca","California State University-Stanislaus","california state university stanislaus","Dia de los Muertos",NA,"SJP at Stanislaus State","students","in remembrance of people killed in genocide in Gaza;for Palestinian liberation",NA,2024,0,"university",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"19",2025-09-06,"cambridge","ma","Harvard University","harvard science center plaza",NA,"demonstration","Students For Freedom","students; faculty","for urging Harvard University adminstration to stand against president Trump's demands; for academic freedom",100,2025,0,"student_campus",NA,"MA",2,4,"Democratic-State","Private","northeast","Non-Gaza Related","No Arrests"
"20",2025-09-22,"allendae","mi","Grand Valley State University","james h. zumberge hall, 4099 calder dr",NA,"rally; march","Progressive Student Union; Grand Rapids District of Freedom Road Socialist Organization","students","For the university to pass a sanctuary campus policy to protect international students; against the university and the police department cooperating with ICE",22,2025,0,"student_campus",NA,"MI",1,4,"Republican-State","Public","midwest","Non-Gaza Related","No Arrests"
"21",2025-09-23,"amherst","ma","University of Massachusetts-Amherst","121 presidents dr","Raytheon Out of UMass","demonsration; protest","Students for Justice in Palestine; UMass Dissenters","students; community members","against Raytheon Technologies and defense contractors due to their alleged role in the humanitarian crisis/genocide in Gaza; against the UMass administration for its complicity and refusal to ban the companies from career fairs; for ceasefire in Gaza; for Palestinian liberation",25,2025,0,"student_campus",NA,"MA",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"22",2025-09-24,"blacksburg","va","Virginia Polytechnic Institute and State University","800 drillfield dr","Hate Has No Home Here","rally","Turning Point USA","students; elected officials","for honoring Charlie Kirk's legacy; for conservative student voices on campus; against academic bias from leftist professors; against hate speech",2000,2025,0,"student_campus",NA,"VA",1,4,"Democratic-State","Public","south","Non-Gaza Related","Arrests"
"23",2025-10-09,"columbia","oh","University of Missouri-Columbia","409 conley ave, dr. richard h jesse hall",NA,"rally","LiUNA Local 955","community members; students","against UM System President Mun Choi's comments on employment speech",70,2025,0,"student_campus",NA,"MO",1,4,"Republican-State","Public","midwest","Non-Gaza Related","No Arrests"
"24",2025-11-13,"tempe","az","Arizona State University Campus Immersion","301 e orange st, memorial union",NA,"protest","UNITE Here Local 11; SJP; Young Democratic Socialists","dining hall workers; students; elected officials","for fair wages; for health care; for pensions; for respect",60,2025,0,"student_campus",NA,"AZ",1,4,"Republican-State","Public","west","Non-Gaza Related","Arrests"
